"BehaviorSpace results (NetLogo 7.0.4),""Table version 2.0"""
Virus.nlogox
experimento_final
05/26/2026 18:48:52:016 -0500
"min-pxcor,""max-pxcor"",""min-pycor"",""max-pycor"""
"-17,""17"",""-17"",""17"""
"[run number],""infectiousness"",""[step]"",""ticks"""
"5,""10"",""21"",""21"""
"2,""10"",""23"",""23"""
"4,""10"",""36"",""36"""
"8,""10"",""40"",""40"""
"10,""10"",""25"",""25"""
"7,""10"",""40"",""40"""
"3,""10"",""35"",""35"""
"11,""10"",""32"",""32"""
"9,""10"",""38"",""38"""
"6,""10"",""64"",""64"""
"12,""10"",""49"",""49"""
"14,""10"",""40"",""40"""
"17,""10"",""40"",""40"""
"18,""10"",""49"",""49"""
"15,""10"",""37"",""37"""
"20,""10"",""21"",""21"""
"19,""10"",""21"",""21"""
"16,""10"",""51"",""51"""
"22,""10"",""21"",""21"""
"24,""10"",""24"",""24"""
"23,""10"",""37"",""37"""
"13,""10"",""64"",""64"""
"25,""10"",""40"",""40"""
"27,""10"",""40"",""40"""
"29,""10"",""39"",""39"""
"28,""10"",""28"",""28"""
"26,""10"",""39"",""39"""
"30,""10"",""27"",""27"""
"21,""10"",""71"",""71"""
"31,""20"",""35"",""35"""
"34,""20"",""40"",""40"""
"32,""20"",""38"",""38"""
"36,""20"",""59"",""59"""
"35,""20"",""52"",""52"""
"37,""20"",""73"",""73"""
"39,""20"",""39"",""39"""
"42,""20"",""44"",""44"""
"41,""20"",""52"",""52"""
"33,""20"",""104"",""104"""
"40,""20"",""90"",""90"""
"43,""20"",""41"",""41"""
"45,""20"",""37"",""37"""
"47,""20"",""41"",""41"""
"46,""20"",""41"",""41"""
"49,""20"",""35"",""35"""
"38,""20"",""135"",""135"""
"48,""20"",""36"",""36"""
"51,""20"",""37"",""37"""
"50,""20"",""51"",""51"""
"44,""20"",""123"",""123"""
"54,""20"",""32"",""32"""
"56,""20"",""39"",""39"""
"57,""20"",""27"",""27"""
"52,""20"",""58"",""58"""
"53,""20"",""63"",""63"""
"60,""20"",""21"",""21"""
"59,""20"",""37"",""37"""
"55,""20"",""63"",""63"""
"61,""30"",""45"",""45"""
"58,""20"",""66"",""66"""
"63,""30"",""42"",""42"""
"65,""30"",""71"",""71"""
"67,""30"",""53"",""53"""
"66,""30"",""44"",""44"""
"68,""30"",""72"",""72"""
"62,""30"",""153"",""153"""
"70,""30"",""53"",""53"""
"71,""30"",""54"",""54"""
"69,""30"",""100"",""100"""
"73,""30"",""40"",""40"""
"74,""30"",""33"",""33"""
"75,""30"",""42"",""42"""
"77,""30"",""36"",""36"""
"78,""30"",""66"",""66"""
"80,""30"",""40"",""40"""
"79,""30"",""64"",""64"""
"82,""30"",""49"",""49"""
"83,""30"",""66"",""66"""
"84,""30"",""50"",""50"""
"85,""30"",""41"",""41"""
"86,""30"",""37"",""37"""
"1,""10"",""37"",""37"""
"76,""30"",""436"",""436"""
"89,""30"",""51"",""51"""
"90,""30"",""62"",""62"""
"91,""40"",""122"",""122"""
"64,""30"",""970"",""970"""
"81,""30"",""1000"",""1000"""
"72,""30"",""1000"",""1000"""
"94,""40"",""256"",""256"""
"96,""40"",""35"",""35"""
"87,""30"",""1000"",""1000"""
"92,""40"",""1000"",""1000"""
"93,""40"",""1000"",""1000"""
"95,""40"",""1000"",""1000"""
"101,""40"",""64"",""64"""
"102,""40"",""37"",""37"""
"97,""40"",""1000"",""1000"""
"104,""40"",""41"",""41"""
"98,""40"",""1000"",""1000"""
"106,""40"",""199"",""199"""
"99,""40"",""1000"",""1000"""
"107,""40"",""69"",""69"""
"108,""40"",""139"",""139"""
"100,""40"",""1000"",""1000"""
"111,""40"",""67"",""67"""
"105,""40"",""1000"",""1000"""
"112,""40"",""57"",""57"""
"103,""40"",""1000"",""1000"""
"114,""40"",""96"",""96"""
"116,""40"",""35"",""35"""
"115,""40"",""118"",""118"""
"118,""40"",""55"",""55"""
"109,""40"",""1000"",""1000"""
"110,""40"",""1000"",""1000"""
"120,""40"",""51"",""51"""
"113,""40"",""1000"",""1000"""
"117,""40"",""1000"",""1000"""
"119,""40"",""1000"",""1000"""
"121,""50"",""1000"",""1000"""
"122,""50"",""1000"",""1000"""
"88,""30"",""98"",""98"""
"123,""50"",""1000"",""1000"""
"124,""50"",""1000"",""1000"""
"125,""50"",""1000"",""1000"""
"127,""50"",""1000"",""1000"""
"126,""50"",""1000"",""1000"""
"133,""50"",""46"",""46"""
"129,""50"",""1000"",""1000"""
"130,""50"",""1000"",""1000"""
"131,""50"",""1000"",""1000"""
"132,""50"",""1000"",""1000"""
"138,""50"",""91"",""91"""
"139,""50"",""88"",""88"""
"134,""50"",""1000"",""1000"""
"141,""50"",""59"",""59"""
"142,""50"",""79"",""79"""
"135,""50"",""1000"",""1000"""
"136,""50"",""1000"",""1000"""
"145,""50"",""92"",""92"""
"137,""50"",""1000"",""1000"""
"140,""50"",""1000"",""1000"""
"143,""50"",""1000"",""1000"""
"149,""50"",""53"",""53"""
"144,""50"",""1000"",""1000"""
"146,""50"",""1000"",""1000"""
"147,""50"",""1000"",""1000"""
"148,""50"",""1000"",""1000"""
"150,""50"",""1000"",""1000"""
"151,""60"",""1000"",""1000"""
"152,""60"",""1000"",""1000"""
"153,""60"",""1000"",""1000"""
"154,""60"",""1000"",""1000"""
"155,""60"",""1000"",""1000"""
"160,""60"",""70"",""70"""
"157,""60"",""1000"",""1000"""
"156,""60"",""1000"",""1000"""
"158,""60"",""1000"",""1000"""
"159,""60"",""1000"",""1000"""
"161,""60"",""1000"",""1000"""
"162,""60"",""1000"",""1000"""
"163,""60"",""1000"",""1000"""
"164,""60"",""1000"",""1000"""
"165,""60"",""1000"",""1000"""
"170,""60"",""40"",""40"""
"166,""60"",""1000"",""1000"""
"167,""60"",""1000"",""1000"""
"168,""60"",""1000"",""1000"""
"169,""60"",""1000"",""1000"""
"171,""60"",""1000"",""1000"""
"172,""60"",""1000"",""1000"""
"177,""60"",""64"",""64"""
"173,""60"",""1000"",""1000"""
"174,""60"",""1000"",""1000"""
"175,""60"",""1000"",""1000"""
"176,""60"",""1000"",""1000"""
"178,""60"",""1000"",""1000"""
"179,""60"",""1000"",""1000"""
"180,""60"",""1000"",""1000"""
"128,""50"",""1000"",""1000"""
